"japan"	"france"	"germany"	"canada"	"united_kingdom"	"united_states_of_america"	"italy"
"49.8"	"43.8"	"45.8"	"43.2"	"42.7"	"41.3"	"48"
"50"	"44"	"45.9"	"43.4"	"42.9"	"41.5"	"48.3"
"50.1"	"44.2"	"46.1"	"43.6"	"43.1"	"41.7"	"48.5"
"50.3"	"44.4"	"46.3"	"43.8"	"43.3"	"41.9"	"48.7"
"50.4"	"44.5"	"46.4"	"44"	"43.5"	"42"	"49"
"50.6"	"44.7"	"46.6"	"44.1"	"43.6"	"42.2"	"49.2"
"50.7"	"44.9"	"46.7"	"44.3"	"43.8"	"42.4"	"49.4"
"50.8"	"45"	"46.9"	"44.4"	"44"	"42.5"	"49.6"
"50.9"	"45.2"	"47"	"44.6"	"44.1"	"42.7"	"49.8"
"51"	"45.3"	"47.2"	"44.7"	"44.3"	"42.8"	"50"
"51.1"	"45.4"	"47.3"	"44.9"	"44.4"	"43"	"50.2"
"51.2"	"45.6"	"47.5"	"45"	"44.6"	"43.1"	"50.4"
"51.3"	"45.7"	"47.6"	"45.1"	"44.7"	"43.2"	"50.6"
"51.4"	"45.8"	"47.8"	"45.2"	"44.8"	"43.3"	"50.7"
"51.5"	"45.9"	"47.9"	"45.3"	"45"	"43.5"	"50.9"
"51.6"	"46"	"48"	"45.4"	"45.1"	"43.6"	"51.1"
"51.7"	"46.1"	"48.2"	"45.5"	"45.2"	"43.7"	"51.2"
"51.7"	"46.2"	"48.3"	"45.6"	"45.3"	"43.8"	"51.3"
"51.8"	"46.2"	"48.4"	"45.7"	"45.4"	"43.9"	"51.5"
"51.9"	"46.3"	"48.4"	"45.8"	"45.5"	"44"	"51.6"
"52"	"46.4"	"48.5"	"45.9"	"45.6"	"44.1"	"51.7"
"52.1"	"46.5"	"48.6"	"45.9"	"45.7"	"44.2"	"51.9"
"52.2"	"46.6"	"48.6"	"46"	"45.8"	"44.3"	"52"
"52.3"	"46.7"	"48.6"	"46.1"	"45.9"	"44.4"	"52.1"
"52.4"	"46.8"	"48.7"	"46.2"	"46"	"44.5"	"52.2"
"52.5"	"46.8"	"48.7"	"46.2"	"46.2"	"44.6"	"52.3"
"52.6"	"46.9"	"48.7"	"46.3"	"46.2"	"44.7"	"52.3"
"52.7"	"47"	"48.7"	"46.4"	"46.4"	"44.8"	"52.4"
"52.8"	"47.1"	"48.7"	"46.5"	"46.5"	"44.9"	"52.5"
"52.9"	"47.2"	"48.7"	"46.5"	"46.5"	"45"	"52.5"
"52.9"	"47.3"	"48.7"	"46.6"	"46.6"	"45.1"	"52.6"
"53"	"47.3"	"48.7"	"46.7"	"46.7"	"45.2"	"52.6"
"53.1"	"47.4"	"48.7"	"46.8"	"46.8"	"45.3"	"52.6"
"53.1"	"47.5"	"48.7"	"46.8"	"46.9"	"45.4"	"52.6"
"53.2"	"47.6"	"48.8"	"46.9"	"47"	"45.5"	"52.6"
"53.2"	"47.6"	"48.8"	"47"	"47.1"	"45.6"	"52.6"
"53.2"	"47.7"	"48.8"	"47.1"	"47.2"	"45.7"	"52.6"
"53.2"	"47.8"	"48.8"	"47.2"	"47.3"	"45.8"	"52.6"
"53.2"	"47.8"	"48.9"	"47.3"	"47.4"	"45.9"	"52.6"
"53.2"	"47.9"	"48.9"	"47.3"	"47.5"	"46"	"52.6"
"53.2"	"48"	"49"	"47.4"	"47.5"	"46.1"	"52.5"
"53.2"	"48"	"49"	"47.5"	"47.6"	"46.2"	"52.5"
"53.2"	"48.1"	"49.1"	"47.6"	"47.7"	"46.3"	"52.5"
"53.1"	"48.2"	"49.1"	"47.7"	"47.8"	"46.4"	"52.5"
"53.1"	"48.2"	"49.2"	"47.7"	"47.9"	"46.4"	"52.5"
"53.1"	"48.3"	"49.3"	"47.8"	"47.9"	"46.5"	"52.4"
"53.1"	"48.4"	"49.3"	"47.9"	"48"	"46.6"	"52.4"
"53"	"48.4"	"49.4"	"48"	"48.1"	"46.7"	"52.4"
"53"	"48.5"	"49.4"	"48"	"48.2"	"46.8"	"52.4"
"53"	"48.6"	"49.4"	"48.1"	"48.2"	"46.9"	"52.4"
"53"	"48.7"	"49.5"	"48.2"	"48.3"	"46.9"	"52.5"
"53"	"48.7"	"49.5"	"48.2"	"48.3"	"47"	"52.5"
"53"	"48.8"	"49.5"	"48.3"	"48.4"	"47.1"	"52.5"
"53"	"48.9"	"49.5"	"48.3"	"48.4"	"47.1"	"52.5"
"53"	"48.9"	"49.5"	"48.4"	"48.5"	"47.2"	"52.5"
"53"	"49"	"49.5"	"48.4"	"48.6"	"47.3"	"52.6"
"53"	"49.1"	"49.6"	"48.5"	"48.6"	"47.3"	"52.6"
"53.1"	"49.1"	"49.6"	"48.5"	"48.7"	"47.4"	"52.6"
"53.1"	"49.2"	"49.6"	"48.6"	"48.7"	"47.5"	"52.7"
"53.1"	"49.3"	"49.6"	"48.6"	"48.8"	"47.5"	"52.7"
"53.1"	"49.4"	"49.6"	"48.6"	"48.8"	"47.6"	"52.7"
"53.2"	"49.4"	"49.6"	"48.7"	"48.9"	"47.6"	"52.8"
"53.2"	"49.5"	"49.6"	"48.7"	"48.9"	"47.7"	"52.8"
"53.2"	"49.6"	"49.6"	"48.7"	"49"	"47.7"	"52.8"
"53.3"	"49.6"	"49.6"	"48.8"	"49"	"47.8"	"52.9"
"53.3"	"49.7"	"49.7"	"48.8"	"49.1"	"47.8"	"52.9"
"53.3"	"49.8"	"49.7"	"48.8"	"49.1"	"47.8"	"52.9"
"53.3"	"49.8"	"49.7"	"48.9"	"49.2"	"47.9"	"53"
"53.3"	"49.9"	"49.8"	"48.9"	"49.2"	"47.9"	"53"
"53.4"	"50"	"49.8"	"48.9"	"49.3"	"48"	"53"
"53.4"	"50"	"49.9"	"49"	"49.3"	"48"	"53"
"53.4"	"50.1"	"49.9"	"49"	"49.3"	"48"	"53"
"53.4"	"50.1"	"50"	"49"	"49.4"	"48"	"53"
